MSA,STORE,DEPT,DEPTDESC,STYPE,ORIG,ACTUAL,MARKDOWN
2680,5002,800,CLINIQUE,R,2385,2385,0
2680,5002,800,CLINIQUE,P,51575.5,51560.5,15
2680,5002,801,LESLIE  ,R,5131.99,4329.62,802.37
2680,5002,801,LESLIE  ,P,29447.91,18104.05,11343.86
2680,5002,1100,GARY F  ,P,6039,6039,0
2680,5002,1100,GARY F  ,R,378,378,0
2680,5002,1202,CABERN  ,P,8267.93,6354.19,1913.74
2680,5002,1202,CABERN  ,R,521,418.39,102.61
2680,5002,1301,BE2     ,P,42024,23018.15,19005.85
2680,5002,1301,BE2     ,R,4734,3116.1,1617.9
2680,5002,1704,R LAUREN,P,0,91.99,-91.99
2680,5002,1704,R LAUREN,R,35,17.5,17.5
2680,5002,1905,R & Y   ,R,934,1000.72,-66.72
2680,5002,1905,R & Y   ,P,17772,12917.54,4854.46
2680,5002,2102,CAB     ,P,18760,16888.9,1871.1
2680,5002,2102,CAB     ,R,1374,1329.6,44.4
2680,5002,2105,R TAYLOR,R,860.85,733.57,127.28
2680,5002,2105,R TAYLOR,P,14524.3,12360.14,2164.16
2680,5002,2107,MAI     ,R,91.95,52.85,39.1
2680,5002,2107,MAI     ,P,1133.95,853.01,280.94
2680,5002,2200,CELEBRT ,R,3623,3623,0
2680,5002,2200,CELEBRT ,P,60924,60903.09,20.91
2680,5002,2301,BEP     ,R,6624,4077.15,2546.85
2680,5002,2301,BEP     ,P,37209,21267.08,15941.92
2680,5002,2503,CHORUS  ,R,1830,1037.07,792.93
2680,5002,2503,CHORUS  ,P,13514,7762.64,5751.36
2680,5002,3100,4711,P,8817,8789,28
2680,5002,3100,4711,R,553,549,4
2680,5002,3102,CAMBIO  ,R,3393,2774.81,618.19
2680,5002,3102,CAMBIO  ,P,23921,18135.34,5785.66
2680,5002,3103,COP     ,R,3587.99,2249.97,1338.02
2680,5002,3103,COP     ,P,30340.93,17649.74,12691.19
2680,5002,3105,AUSTIN  ,P,18495,10758.73,7736.27
2680,5002,3105,AUSTIN  ,R,1735,880.8,854.2
2680,5002,3404,CITIZENS,R,70.99,36.73,34.26
2680,5002,3701,LACOSTE ,P,26579.75,13635.71,12944.04
2680,5002,3701,LACOSTE ,R,2736.98,1942.84,794.14
2680,5002,4303,ESPRIT  ,P,35617,22840.47,12776.53
2680,5002,4303,ESPRIT  ,R,5335,3993.23,1341.77
2680,5002,4400,BORA    ,P,6957,6847.15,109.85
2680,5002,4400,BORA    ,R,464,464,0
2680,5002,4402,1928,R,2753.47,2324.13,429.34
2680,5002,4402,1928,P,30669.15,23492.14,7177.01
2680,5002,4505,POLOMEN ,P,128701.5,77168.4,51533.1
2680,5002,4505,POLOMEN ,R,14774,9312.02,5461.98
2680,5002,4704,DKNY    ,P,19.5,7.99,11.51
2680,5002,5102,P&Y     ,P,37650.2,30505.49,7144.71
2680,5002,5102,P&Y     ,R,4183.1,3789.46,393.64
2680,5002,5203,COLEHAAN,R,2099.98,1629.87,470.11
2680,5002,5203,COLEHAAN,P,18377.85,12060.44,6317.41
2680,5002,5301,KAREN K ,R,3742,2449.59,1292.41
2680,5002,5301,KAREN K ,P,18292,11488.14,6803.86
2680,5002,5305,LIZ CLA ,R,5881,3866.52,2014.48
2680,5002,5305,LIZ CLA ,P,41522.44,25630.15,15892.29
2680,5002,5404,CARTIER ,R,129.96,88.96,41
2680,5002,6006,INVEST  ,R,7293.89,5671.59,1622.3
2680,5002,6006,INVEST  ,P,63974.42,45286.55,18687.87
2680,5002,6107,NOB     ,P,17,2,15
2680,5002,6107,NOB     ,R,103,109,-6
2680,5002,6400,BLUE    ,R,822.5,815,7.5
2680,5002,6400,BLUE    ,P,14149.5,14129.5,20
2680,5002,6402,FREDERI ,R,318.47,245.87,72.6
2680,5002,6402,FREDERI ,P,16524.65,13044.3,3480.35
2680,5002,6404,ELLEN T ,R,126.48,84.01,42.47
2680,5002,6404,ELLEN T ,P,19.98,7.98,12
2680,5002,6505,ST JOHN ,R,3529.48,2496.98,1032.5
2680,5002,6505,ST JOHN ,P,35435.29,24771.58,10663.71
2680,5002,6601,MATTY M ,R,698.28,591.96,106.32
2680,5002,6601,MATTY M ,P,197,217.8,-20.8
2680,5002,7101,CAROLE  ,P,43184,24094.97,19089.03
2680,5002,7101,CAROLE  ,R,6056,3904.96,2151.04
2680,5002,7102,BCH     ,R,4360,3222.18,1137.82
2680,5002,7102,BCH     ,P,32506,23116.94,9389.06
2680,5002,7104,CARTERS ,R,40,38,2
2680,5002,7106,BRIOSO  ,P,31795.67,25389.76,6405.91
2680,5002,7106,BRIOSO  ,R,4592,4032.59,559.41
2680,5002,7200,COFFRET ,P,7429.5,6373.4,1056.1
2680,5002,7200,COFFRET ,R,343,323,20
2680,5002,7205,LOUISVL ,R,505,303.06,201.94
2680,5002,7205,LOUISVL ,P,4962,2480.31,2481.69
2680,5002,7307,SIGRID O,R,269,129.99,139.01
2680,5002,7307,SIGRID O,P,227,12,215
2680,5002,8000,ETERNIT ,P,7857,7668,189
2680,5002,8000,ETERNIT ,R,442,421,21
2680,5002,8101,ECHO    ,R,2822,1970.05,851.95
2680,5002,8101,ECHO    ,P,17822,11985.08,5836.92
2680,5002,8305,NO FEAR ,R,2952,2464.66,487.34
2680,5002,8305,NO FEAR ,P,24747,19727.44,5019.56
2680,5002,8306,REEBOK  ,P,45,2,43
2680,5002,8306,REEBOK  ,R,77,77,0
2680,5002,9000,ANNASUI ,P,1782.25,1782.25,0
2680,5002,9000,ANNASUI ,R,81,81,0
2680,5002,9105,LISLI   ,P,16582.5,12755.32,3827.18
2680,5002,9105,LISLI   ,R,2389,1890.92,498.08
2680,5002,9306,SPERRY  ,P,35088.6,28441.75,6646.85
2680,5002,9306,SPERRY  ,R,3814.94,3015.08,799.86
2680,5002,9801,CATALIN ,P,1407,121.08,1285.92
2680,5002,9801,CATALIN ,R,541,97.29,443.71
2680,5102,800,CLINIQUE,R,2348,2348,0
2680,5102,800,CLINIQUE,P,75412.5,75331.45,81.05
2680,5102,801,LESLIE  ,R,2942,2279.92,662.08
2680,5102,801,LESLIE  ,P,37727,23476.96,14250.04
2680,5102,1100,GARY F  ,R,1090,1074.5,15.5
2680,5102,1100,GARY F  ,P,17901,17870,31
2680,5102,1107,JACQUES ,R,1097.75,1037.75,60
2680,5102,1107,JACQUES ,P,3614.75,3039.53,575.22
2680,5102,1202,CABERN  ,P,14985.49,11716.86,3268.63
2680,5102,1202,CABERN  ,R,519,382.3,136.7
2680,5102,1301,BE2     ,P,40767,25380.14,15386.86
2680,5102,1301,BE2     ,R,3286,2073.34,1212.66
2680,5102,1704,R LAUREN,P,18252.5,11108.32,7144.18
2680,5102,1704,R LAUREN,R,1242,856.67,385.33
2680,5102,1905,R & Y   ,P,48745.5,42567.03,6178.47
2680,5102,1905,R & Y   ,R,2950,2520.69,429.31
2680,5102,2102,CAB     ,R,1230,1123.49,106.51
2680,5102,2102,CAB     ,P,22158,20308.31,1849.69
2680,5102,2105,R TAYLOR,R,1379,1321.87,57.13
2680,5102,2105,R TAYLOR,P,48536.85,43230.02,5306.83
2680,5102,2107,MAI     ,R,155,124.98,30.02
2680,5102,2107,MAI     ,P,10890,7353.96,3536.04
2680,5102,2200,CELEBRT ,P,70192.5,70087.7,104.8
2680,5102,2200,CELEBRT ,R,3636.5,3633.5,3
2680,5102,2301,BEP     ,P,27279,16800.77,10478.23
2680,5102,2301,BEP     ,R,3375,2303.99,1071.01
2680,5102,2503,CHORUS  ,P,15761,7953.21,7807.79
2680,5102,2503,CHORUS  ,R,2568,1466.94,1101.06
2680,5102,3100,4711,P,30326.5,30299,27.5
2680,5102,3100,4711,R,764,764,0
2680,5102,3102,CAMBIO  ,P,39788,32306.59,7481.41
2680,5102,3102,CAMBIO  ,R,3911,3217.24,693.76
2680,5102,3103,COP     ,R,2617,1881.7,735.3
2680,5102,3103,COP     ,P,34380.96,20667.27,13713.69
2680,5102,3105,AUSTIN  ,R,2880,1982.5,897.5
2680,5102,3105,AUSTIN  ,P,46810,36114.35,10695.65
2680,5102,3107,ONEIDA  ,P,5418,4182.88,1235.12
2680,5102,3107,ONEIDA  ,R,231,216.99,14.01
2680,5102,3404,CITIZENS,P,20737.91,16068.62,4669.29
2680,5102,3404,CITIZENS,R,1020.51,1001.76,18.75
2680,5102,3701,LACOSTE ,P,29910.76,16476.13,13434.63
2680,5102,3701,LACOSTE ,R,2307.95,1672.51,635.44
2680,5102,4303,ESPRIT  ,P,41294,26125.7,15168.3
2680,5102,4303,ESPRIT  ,R,4013,2809.3,1203.7
2680,5102,4400,BORA    ,R,329.5,329.5,0
2680,5102,4400,BORA    ,P,4732.5,4517.7,214.8
2680,5102,4402,1928,P,69394.91,51192.75,18202.16
2680,5102,4402,1928,R,4965.98,3621.13,1344.85
2680,5102,4407,ENVIRON ,P,0,14,-14
2680,5102,4505,POLOMEN ,P,355427,249613.75,105813.25
2680,5102,4505,POLOMEN ,R,31551.5,23211.22,8340.28
2680,5102,4704,DKNY    ,P,18001.5,10296.66,7704.84
2680,5102,4704,DKNY    ,R,1245,750.07,494.93
2680,5102,4801,GOTTEX  ,R,270,270,0
2680,5102,4801,GOTTEX  ,P,2790,2790,0
2680,5102,5100,COLOR   ,R,1331,1331,0
2680,5102,5100,COLOR   ,P,34206.5,34197.6,8.9
2680,5102,5102,P&Y     ,R,2604,2196.54,407.46
2680,5102,5102,P&Y     ,P,47485,40720.78,6764.22
2680,5102,5203,COLEHAAN,P,17029.93,11038.57,5991.36
2680,5102,5203,COLEHAAN,R,1262,955.63,306.37
2680,5102,5207,H SIERR ,R,1950,810,1140
2680,5102,5207,H SIERR ,P,36525,12858.62,23666.38
2680,5102,5301,KAREN K ,R,9024,6411.23,2612.77
2680,5102,5301,KAREN K ,P,55696,36454.53,19241.47
2680,5102,5305,LIZ CLA ,R,5948,4514.47,1433.53
2680,5102,5305,LIZ CLA ,P,66843.48,46376.99,20466.49
2680,5102,5404,CARTIER ,R,753.88,646.11,107.77
2680,5102,5404,CARTIER ,P,13703.54,9899.11,3804.43
2680,5102,6006,INVEST  ,P,61504.63,46237.33,15267.3
2680,5102,6006,INVEST  ,R,5514.97,4321.74,1193.23
2680,5102,6107,NOB     ,R,498,442.83,55.17
2680,5102,6107,NOB     ,P,8449,6777.96,1671.04
2680,5102,6400,BLUE    ,R,425,422.5,2.5
2680,5102,6400,BLUE    ,P,10196.5,10174,22.5
2680,5102,6402,FREDERI ,P,15382.76,12724.72,2658.04
2680,5102,6402,FREDERI ,R,264,225.37,38.63
2680,5102,6404,ELLEN T ,R,1946.37,1596.91,349.46
2680,5102,6404,ELLEN T ,P,36524.02,25917.87,10606.15
2680,5102,6505,ST JOHN ,P,47038.03,37697.95,9340.08
2680,5102,6505,ST JOHN ,R,2323,1865.24,457.76
2680,5102,6601,MATTY M ,P,21285,15401.98,5883.02
2680,5102,6601,MATTY M ,R,3263,2448.65,814.35
2680,5102,7101,CAROLE  ,R,3875,2399.86,1475.14
2680,5102,7101,CAROLE  ,P,44077,26014.35,18062.65
2680,5102,7102,BCH     ,R,2230,1864.68,365.32
2680,5102,7102,BCH     ,P,38475,28099.2,10375.8
2680,5102,7104,CARTERS ,P,13706,12195.47,1510.53
2680,5102,7104,CARTERS ,R,358,340.73,17.27
2680,5102,7106,BRIOSO  ,P,37105.73,30938.25,6167.48
2680,5102,7106,BRIOSO  ,R,3440.97,3105.2,335.77
2680,5102,7200,COFFRET ,R,246,246,0
2680,5102,7200,COFFRET ,P,4228.5,4152.25,76.25
2680,5102,7205,LOUISVL ,P,13059,8051.66,5007.34
2680,5102,7205,LOUISVL ,R,836,571.92,264.08
2680,5102,7307,SIGRID O,P,13523,11562.35,1960.65
2680,5102,7307,SIGRID O,R,5146,4235.43,910.57
2680,5102,8000,ETERNIT ,R,505,478,27
2680,5102,8000,ETERNIT ,P,9080.5,8843.5,237
2680,5102,8101,ECHO    ,R,3031,2067.43,963.57
2680,5102,8101,ECHO    ,P,19623,13071.57,6551.43
2680,5102,8305,NO FEAR ,P,35767.5,28544.24,7223.26
2680,5102,8305,NO FEAR ,R,2882,2370.13,511.87
2680,5102,8306,REEBOK  ,P,19738.63,17869.45,1869.18
2680,5102,8306,REEBOK  ,R,1625.97,1488.55,137.42
2680,5102,9000,ANNASUI ,P,3057.75,3061.25,-3.5
2680,5102,9000,ANNASUI ,R,83,83,0
2680,5102,9105,LISLI   ,R,1759,1452.37,306.63
2680,5102,9105,LISLI   ,P,27390,23119.83,4270.17
2680,5102,9306,SPERRY  ,P,106761.18,87320.25,19440.93
2680,5102,9306,SPERRY  ,R,8797,7390.3,1406.7
2680,5102,9801,CATALIN ,P,0,18,-18
2680,5102,9801,CATALIN ,R,144,13.73,130.27
2680,5202,800,CLINIQUE,R,2917.5,2915.25,2.25
2680,5202,800,CLINIQUE,P,51767,51758.35,8.65
2680,5202,801,LESLIE  ,R,4175.99,3144.81,1031.18
2680,5202,801,LESLIE  ,P,40006.94,27111.16,12895.78
2680,5202,1100,GARY F  ,R,852,852,0
2680,5202,1100,GARY F  ,P,8948.5,8936,12.5
2680,5202,1107,JACQUES ,R,180,180,0
2680,5202,1107,JACQUES ,P,3269.5,2823.36,446.14
2680,5202,1202,CABERN  ,P,10660,8237.31,2422.69
2680,5202,1202,CABERN  ,R,437,320.73,116.27
2680,5202,1301,BE2     ,P,42072,26765.95,15306.05
2680,5202,1301,BE2     ,R,4742,3196.69,1545.31
2680,5202,1704,R LAUREN,R,783.5,511.76,271.74
2680,5202,1704,R LAUREN,P,7302.5,4846.68,2455.82
2680,5202,1905,R & Y   ,R,2272,1873.47,398.53
2680,5202,1905,R & Y   ,P,30430,25774.64,4655.36
2680,5202,2102,CAB     ,P,21186,19609.33,1576.67
2680,5202,2102,CAB     ,R,1752,1613.84,138.16
2680,5202,2105,R TAYLOR,P,18071.4,16422.49,1648.91
2680,5202,2105,R TAYLOR,R,886.5,785.4,101.1
2680,5202,2107,MAI     ,P,11525.95,8057.89,3468.06
2680,5202,2107,MAI     ,R,414,272.48,141.52
2680,5202,2200,CELEBRT ,R,3572,3572,0
2680,5202,2200,CELEBRT ,P,61348,61396.9,-48.9
2680,5202,2301,BEP     ,R,6020,3912.73,2107.27
2680,5202,2301,BEP     ,P,38662,25798.13,12863.87
2680,5202,2503,CHORUS  ,R,2763,1851.78,911.22
2680,5202,2503,CHORUS  ,P,19422,11275.7,8146.3
2680,5202,3100,4711,R,681,681,0
2680,5202,3100,4711,P,16026.5,16016.5,10
2680,5202,3102,CAMBIO  ,P,23756,20026.14,3729.86
2680,5202,3102,CAMBIO  ,R,3844,3308.19,535.81
2680,5202,3103,COP     ,P,30596.92,19094.79,11502.13
2680,5202,3103,COP     ,R,4265.96,3393.04,872.92
2680,5202,3105,AUSTIN  ,R,4180,1883.5,2296.5
2680,5202,3105,AUSTIN  ,P,21740,15069,6671
2680,5202,3107,ONEIDA  ,P,2696,2028.54,667.46
