Bank.Name,City,ST,CERT,Acquiring.Institution,Closing.Date
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.","Friday, April 3, 2020"
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,"Friday, February 14, 2020"
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,"Friday, November 1, 2019"
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,"Friday, October 25, 2019"
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,"Friday, October 25, 2019"
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.","Friday, May 31, 2019"
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,"Friday, December 15, 2017"
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,"Friday, October 13, 2017"
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb","Friday, May 26, 2017"
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,"Friday, May 5, 2017"
First NBC Bank,New Orleans,LA,58302,Whitney Bank,"Friday, April 28, 2017"
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,"Friday, March 3, 2017"
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,"Friday, January 27, 2017"
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,"Friday, January 13, 2017"
Allied Bank,Mulberry,AR,91,Today's Bank,"Friday, September 23, 2016"
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,"Friday, August 19, 2016"
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,"Friday, May 6, 2016"
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,"Friday, April 29, 2016"
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,"Friday, March 11, 2016"
Hometown National Bank,Longview,WA,35156,Twin City Bank,"Friday, October 2, 2015"
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,"Friday, October 2, 2015"
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb","Friday, July 10, 2015"
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,"Friday, May 8, 2015"
Doral BankEn Español,San Juan,PR,32102,Banco Popular de Puerto Rico,"Friday, February 27, 2015"
